RIVER,CODE,LOCATION,STATE,T_MIN,T_MAX,T_AVG,DO_MIN,DO_MAX,DO_AVG,PH_MIN,PH_MAX,PH_AVG,COND_MIN,COND_MAX,COND_AVG,BOD_MIN,BOD_MAX,BOD_AVG,N_MIN,N_MAX,N_AVG,FC_MIN,FC_MAX,FC_AVG,TC_MIN,TC_MAX,TC_AVG
YAMUNA,1492,YAMUNA AT YAMUNOTRI,UTTARAKHAND,3.0,3.0,3.0,8.6,8.6,8.6,7.2,7.2,7.2,52.0,52.0,52.0,,,,,,,,,,,,
YAMUNA,1493,YAMUNA AT HANUMANCHATTI,UTTARAKHAND,10.0,10.0,10.0,8.8,8.8,8.8,8.9,8.9,8.9,80.0,80.0,80.0,,,,,,,,,,,,
YAMUNA,1494,YAMUNA AT U/S OF LAKHWAR DAM,UTTARAKHAND,14.0,24.0,20.0,7.6,8.8,8.2,7.5,8.8,8.1,152.0,254.0,206.0,1.0,2.2,1.6,,,,92000.0,92000.0,92000.0,12.0,200000.0,80006.0
YAMUNA,1490,YAMUNA AT U/S DAK PATTHAR,UTTARAKHAND,15.0,24.0,19.0,8.0,8.6,8.4,8.0,8.4,8.2,99.0,203.0,135.0,1.8,2.6,2.3,,,,11000.0,11000.0,11000.0,110.0,54000.0,10984.0
YAMUNA,1553,"YAMUNA , U/S PAONTA SAHIB",HIMACHAL PRADESH,12.0,25.0,20.0,6.1,9.0,7.9,6.2,8.1,7.3,176.0,663.0,397.0,1.0,1.6,1.3,0.0,0.94,0.29,6.0,7800.0,689.0,16.0,23000.0,3142.0
YAMUNA,1554,"YAMUNA , D/S PAONTA SAHIB",HIMACHAL PRADESH,12.0,27.0,21.0,6.2,9.0,7.7,6.5,8.0,7.5,177.0,947.0,338.0,0.8,1.6,1.2,0.0,1.03,0.35,8.0,16.0,12.0,18.0,28.0,22.0
YAMUNA,1117,YAMUNA AT HATHNIKUND,HARYANA,,,,6.8,10.7,8.7,,,,,,,1.0,2.0,1.4,,,,1100.0,18000.0,7175.0,2000.0,68000.0,25260.0
YAMUNA,1496,"YAMUNA AT KALANAUR,  YAMUNA NAGAR",HARYANA,,,,6.6,11.0,8.5,,,,,,,1.0,3.0,1.0,,,,1800.0,18000.0,8380.0,1800.0,55000.0,25950.0
YAMUNA,1119,YAMUNA AT SONEPAT,HARYANA,,,,6.4,11.3,7.8,,,,,,,1.0,2.0,1.2,,,,2300.0,18000.0,9325.0,11000.0,49000.0,27200.0
YAMUNA,1120,YAMUNA AT WAZIRABAD,DELHI,,,,6.1,11.4,8.8,6.1,8.5,7.3,,,,1.0,3.0,2.0,,,,1100.0,1000000.0,165922.0,2200.0,4000000.0,418356.0
YAMUNA,1121,YAMUNA AT NIZAMUDDIN,DELHI,,,,0.0,5.4,2.7,7.2,8.5,7.9,,,,4.0,39.0,21.5,,,,100000.0,20000000000.0,1900000000.0,300000.0,20000000000.0,1900000000.0
YAMUNA,1375,YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL),DELHI,,,,0.0,3.9,2.0,7.2,8.5,7.9,,,,4.0,40.0,22.0,,,,100000.0,20000000000.0,1900000000.0,200000.0,20000000000.0,1900000000.0
YAMUNA,1497,YAMUNA AT MAZAWALI,UTTAR PRADESH,,,,0.0,3.5,1.5,,,,,,,2.0,24.0,12.9,,,,17000.0,800000000.0,210000000.0,23000.0,800000000.0,190000000.0
YAMUNA,2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,17.0,35.0,26.0,2.1,5.2,3.8,7.0,7.4,7.3,,,,9.0,13.8,11.1,,,,21000.0,46000.0,32636.0,41000.0,84000.0,59909.0
YAMUNA,1123,YAMUNA AT MATHURA U/S,UTTAR PRADESH,,,,0.8,8.8,4.4,,,,,,,2.0,14.0,8.1,,,,2000.0,700000.0,226625.0,4000.0,3000000.0,808960.0
YAMUNA,2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,17.0,35.0,26.0,2.0,5.3,3.6,7.2,7.6,7.3,,,,9.8,14.6,12.1,,,,31000.0,77000.0,43364.0,46000.0,200000.0,97000.0
YAMUNA,1124,YAMUNA AT MATHURA D/S,UTTAR PRADESH,,,,1.5,20.0,7.0,,,,,,,3.0,13.0,7.8,,,,200000.0,1000000.0,500000.0,400000.0,8000000.0,2434000.0
YAMUNA,1125,YAMUNA AT AGRA U/S,UTTAR PRADESH,,,,2.6,8.2,5.4,,,,,,,2.0,10.0,6.8,,,,7800.0,300000.0,197800.0,70000.0,5000000.0,2672000.0
YAMUNA,1126,YAMUNA AT D/S OF AGRA,UTTAR PRADESH,,,,1.6,21.1,6.0,,,,,,,4.0,15.0,9.7,,,,30000.0,900000.0,475000.0,100000.0,2000000.0,1303333.0
YAMUNA,2493,YAMUNA AT SHAHPUR,UTTAR PRADESH,17.0,35.0,25.0,1.8,5.8,4.3,7.1,7.9,7.4,,,,7.4,12.8,9.8,,,,17000.0,33000.0,25818.0,31000.0,54000.0,43364.0
YAMUNA,1498,YAMUNA AT BATESWAR,UTTAR PRADESH,,,,2.1,17.2,8.0,,,,,,,2.0,15.0,9.0,,,,1000000.0,1000000.0,1100000.0,27000.0,9000000.0,3084667.0
YAMUNA,1127,YAMUNA AT ETAWAH,UTTAR PRADESH,,,,4.3,15.6,8.7,,,,,,,1.0,14.0,7.4,,,,,,,100000.0,100000.0,110000.0
YAMUNA,1499,"YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH",UTTAR PRADESH,,,,4.1,14.7,9.4,,,,,,,1.0,7.0,4.0,,,,100000.0,100000.0,130000.0,23000.0,2000000.0,582000.0
YAMUNA,1069,YAMUNA AT ALLAHABAD D/S (BALUA GHAT),UTTAR PRADESH,21.0,31.0,25.0,6.3,8.2,7.2,7.6,8.3,8.0,268.0,1110.0,634.0,1.6,2.8,2.4,0.46,2.58,1.15,1300.0,1700.0,1533.0,2600.0,4000.0,3225.0
YAMUNA,1812,YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN,DELHI,,,,0.0,5.1,2.6,7.1,8.6,7.9,,,,6.0,113.0,59.5,,,,70000.0,20000000000.0,1900000000.0,100000.0,20000000000.0,2000000000.0
YAMUNA,2283,YAMUNA AT HAMIRPUR,UTTAR PRADESH,,,,5.6,10.5,8.5,,,,,,,,,,,,,,,,49000.0,49000.0,49000.0
BEAS,1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,2.0,12.0,6.0,7.0,9.8,8.7,6.6,9.0,7.8,50.0,116.0,89.0,0.1,0.8,0.2,0.21,1.21,0.48,13.0,70.0,26.0,34.0,280.0,103.0
BEAS,1002,BEAS AT D/S KULU,HIMACHAL PRADESH,3.0,14.0,9.0,8.1,9.7,8.6,7.1,8.2,7.8,64.0,156.0,105.0,0.1,8.7,0.9,0.13,1.71,0.61,26.0,180.0,88.0,220.0,920.0,417.0
BEAS,1003,BEAS AT D/S AUT,HIMACHAL PRADESH,3.0,15.0,9.0,8.0,10.0,8.9,6.9,8.2,7.6,47.0,148.0,93.0,0.1,0.4,0.2,0.09,1.72,0.52,22.0,79.0,52.0,130.0,350.0,204.0
BEAS,1004,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,6.0,16.0,13.0,7.9,10.2,8.8,7.4,8.3,7.9,58.0,177.0,107.0,0.1,0.3,0.2,0.12,0.95,0.55,26.0,49.0,39.0,110.0,280.0,190.0
BEAS,1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,6.0,20.0,12.0,7.7,12.4,10.2,7.5,8.3,7.9,65.0,156.0,101.0,0.1,0.2,0.1,0.25,1.25,0.73,22.0,49.0,31.0,70.0,220.0,138.0
BEAS,1550,BEAS AT U/S MANDI,HIMACHAL PRADESH,9.0,20.0,15.0,7.4,10.7,9.0,7.4,8.4,8.1,73.0,182.0,132.0,0.1,0.3,0.2,0.25,1.69,0.81,26.0,70.0,43.0,110.0,350.0,217.0
BEAS,1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,9.0,22.0,16.0,7.1,10.4,8.8,6.5,8.5,7.8,107.0,276.0,181.0,0.1,0.8,0.4,0.3,3.35,1.45,46.0,240.0,135.0,220.0,1600.0,597.0
BEAS,2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,9.0,30.0,18.0,6.6,9.4,8.3,7.6,7.8,7.7,144.0,369.0,282.0,0.2,3.0,1.0,0.05,0.83,0.5,,,,,,
